商品信息,类型,日期,商品ID,商品链接,图片链接,流量来源,访客数,下单买家数,下单转化率,浏览量,浏览量占比,店内跳转人数,跳出本店人数,收藏人数,加购人数,收藏率,加购率,支付件数,支付买家数,支付转化率,直接支付买家数,收藏商品支付买家数,粉丝支付买家数,加购商品支付买家数,支付金额
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘搜索,71,1,1.41%,140,43.75%,26,61,0,0,0.00,0.00,1,1,1.41%,1,0,0,0,2599.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,购物车,15,2,13.33%,52,16.25%,8,13,1,2,6.67%,13.33%,2,2,13.33%,1,1,1,1,5188.25
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,品销宝- 品牌专区,10,0,0.00,14,4.38%,8,4,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,直通车,9,0,0.00,12,3.75%,7,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘旺信,7,1,14.29%,15,4.69%,3,5,0,0,0.00,0.00,1,1,14.29%,1,0,0,0,2599.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,我的淘宝,6,0,0.00,38,11.88%,5,3,2,1,33.33%,16.67%,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘推荐,5,0,0.00,9,2.81%,2,4,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘推荐-首页推荐-微详情,3,0,0.00,3,-,0,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,-
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘推荐-其他猜你喜欢,2,0,0.00,6,-,2,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,-
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,淘内免费其他,4,0,0.00,7,2.19%,2,4,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘淘宝直播,4,0,0.00,12,3.75%,2,4,1,0,25.00%,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,淘外网站其他,4,0,0.00,6,1.88%,0,4,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,万相台,3,1,33.33%,3,0.94%,2,1,0,1,0.00,33.33%,2,1,33.33%,0,0,0,1,5198.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,日常营销活动,2,0,0.00,2,0.63%,2,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘其他店铺,2,0,0.00,2,0.63%,1,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘拍立淘,2,0,0.00,4,1.25%,1,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,订阅,1,0,0.00,1,0.31%,1,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手猫其他店铺,1,0,0.00,1,0.31%,0,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔曜钻变频三面拢C26U1侧吸抽油烟机家用厨房大吸力吸油烟机,本品,2022-08-23,	665531651466,https://detail.tmall.com/item.htm?id=665531651466,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01VwMzRv2GEj1uthKTV_!!0-item_pic.jpg,手淘问大家,1,0,0.00,2,0.63%,0,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘搜索,30,0,0.00,53,21.81%,12,21,0,4,0.00,13.33%,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,购物车,18,1,5.56%,94,38.68%,13,14,0,3,0.00,16.67%,1,1,5.56%,0,0,0,1,3249.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,我的淘宝,11,0,0.00,21,8.64%,4,8,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,品销宝- 品牌专区,8,0,0.00,10,4.12%,6,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘推荐,6,0,0.00,9,3.70%,4,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘推荐-其他猜你喜欢,4,0,0.00,7,-,4,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,-
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘推荐-首页推荐-微详情,2,0,0.00,2,-,0,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,-
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,万相台,5,1,20.00%,8,3.29%,4,2,0,1,0.00,20.00%,1,1,20.00%,0,0,0,1,3249.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,直通车,5,0,0.00,10,4.12%,5,1,0,1,0.00,20.00%,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,淘内免费其他,4,0,0.00,8,3.29%,3,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,淘宝客,3,0,0.00,4,1.65%,1,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘淘宝直播,3,0,0.00,14,5.76%,2,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘旺信,2,0,0.00,2,0.82%,0,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手猫搜索,2,0,0.00,5,2.06%,1,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,订阅,1,0,0.00,1,0.41%,1,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,一淘,1,0,0.00,1,0.41%,0,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,日常营销活动,1,0,0.00,2,0.82%,1,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
